actor,movie_or_TV_name
David Dastmalchian,The Making of Nightmare
David Dastmalchian,The Games We Play
David Dastmalchian,WGN Morning News
David Dastmalchian,Svengoolie
David Dastmalchian,Movie Surfers
David Dastmalchian,Making of an Ant-Sized Heist: A How-to Guide
David Dastmalchian,Made in Hollywood
David Dastmalchian,Sushi Girl: A Documentary
David Dastmalchian,"Keep Painting, Mom"
Winston Ellis,Finding Forever
Winston Ellis,No Time to Die
Winston Ellis,The Encounter at Boundless
Winston Ellis,Are We Dead Yet
Winston Ellis,This Is Not About You
Winston Ellis,Bluff
Winston Ellis,Catford Jesus
Winston Ellis,Hourglass
Winston Ellis,The Diary
Winston Ellis,100 Streets
Winston Ellis,Beverley
Winston Ellis,Doctor Who
Winston Ellis,Breaking Down
Winston Ellis,Cass
Winston Ellis,The Dark Knight
Winston Ellis,The Bill
Winston Ellis,Rise of the Footsoldier
Winston Ellis,Pirates of the Caribbean: At World's End
Winston Ellis,Pirates of the Caribbean: Dead Man's Chest
Winston Ellis,Hustle
Winston Ellis,Judge John Deed
Winston Ellis,Dream Team
Winston Ellis,Doctors
Winston Ellis,Holby City
Winston Ellis,ChuckleVision
Winston Ellis,Casualty
Winston Ellis,Big Bad World
Winston Ellis,Too Much Sun
Winston Ellis,Shiner
Winston Ellis,Dian zi ge men zhan shi
Winston Ellis,Chinese Box
Winston Ellis,Black Mask
Winston Ellis,First Option
Winston Ellis,The Quest
Winston Ellis,Supreme Warrior
Winston Ellis,Angel on Fire
Winston Ellis,Matira ang matibay
Winston Ellis,Long kua si hai zhi zhi ming qing ren
Winston Ellis,Kickboxer King
Winston Ellis,Operation Condor
Winston Ellis,The Cyprus Tigers
Winston Ellis,Vikings
Winston Ellis,Penny Dreadful
Winston Ellis,The Beast: When Eddie Met Arnie
Winston Ellis,Life Beyond the Ropes: Michael Sprott
Christian Bale,The Church of Living Dangerously
Winston Ellis,Life Beyond the Ropes: Michael Sprott
Winston Ellis,Life Beyond the Ropes: Michael Sprott
Winston Ellis,Digital Pictures: Behind the Scenes 1994
Winston Ellis,Planet Voice
Winston Ellis,Lethal Combat
Christian Bale,The Pale Blue Eye
Christian Bale,Amsterdam
Christian Bale,Thor: Love and Thunder
Christian Bale,Ford v Ferrari
Christian Bale,Vice
Christian Bale,Mowgli: Legend of the Jungle
Christian Bale,Hostiles
Christian Bale,The Promise
Christian Bale,The Big Short
Christian Bale,Knight of Cups
Christian Bale,Exodus: Gods and Kings
Christian Bale,American Hustle
Christian Bale,Out of the Furnace
Christian Bale,The Dark Knight Rises
Christian Bale,The Flowers of War
Christian Bale,The Fighter
Christian Bale,Public Enemies
Christian Bale,Terminator Salvation
Christian Bale,The Dark Knight
Christian Bale,I'm Not There
Christian Bale,3:10 to Yuma
Christian Bale,The Prestige
Christian Bale,Rescue Dawn
Christian Bale,The New World
Christian Bale,Batman Begins
Christian Bale,Batman Begins
Christian Bale,Harsh Times
Christian Bale,Howl's Moving Castle
Christian Bale,The Machinist
Christian Bale,Equilibrium
Christian Bale,Reign of Fire
Christian Bale,Laurel Canyon
Christian Bale,Captain Corelli's Mandolin
Christian Bale,Shaft
Christian Bale,American Psycho
Christian Bale,"Mary, Mother of Jesus"
Christian Bale,A Midsummer Night's Dream
Christian Bale,All the Little Animals
Christian Bale,Velvet Goldmine
Christian Bale,Metroland
Christian Bale,The Secret Agent
Christian Bale,The Portrait of a Lady
Christian Bale,Pocahontas
Christian Bale,Little Women
Christian Bale,Royal Deceit
Christian Bale,Swing Kids
Christian Bale,Newsies
Christian Bale,A Murder of Quality
Christian Bale,Treasure Island
Christian Bale,Henry V
Christian Bale,Empire of the Sun
Christian Bale,Mio in the Land of Faraway
Christian Bale,Heart of the Country
Christian Bale,Anastasia: The Mystery of Anna
Christian Bale,The Church of Living Dangerously
Christian Bale,The Pale Blue Eye
Christian Bale,Harsh Times
Christian Bale,Terminator Salvation
Christian Bale,Newsies
Christian Bale,DC Villains - Catwoman: The Feline Femme Fatale
Christian Bale,Antlers
Christian Bale,"Intent to Destroy: Death, Denial & Depiction"
Christian Bale,Exodus: Gods and Kings - The Lawgiver's Legacy: Moses Throughout History
Christian Bale,Keepers of the Covenant: Making Exodus - Gods and Kings
Christian Bale,Empire of the Hustle
Christian Bale,A Backyard Story
Christian Bale,"Terminator Salvation, Behind the Scenes: Reforging the Future"
Christian Bale,The Assassin
Christian Bale,Batman: The Journey Begins
Christian Bale,The Machinist: Breaking the Rules
Christian Bale,The Alien Legacy
Christian Bale,DC Villains - Catwoman: The Feline Femme Fatale
Christian Bale,Hollywood Insider
Christian Bale,Joker: Put on A Happy Face
Christian Bale,Celebrity Page
Christian Bale,The 26th Annual Screen Actors Guild Awards
Christian Bale,Dish Nation
Christian Bale,WGN Morning News
Christian Bale,IMDb on the Scene - Interviews
Christian Bale,Entertainment Tonight
Christian Bale,Today
Christian Bale,CBS News Sunday Morning
Christian Bale,Access Hollywood
Christian Bale,CTV News at Noon Toronto
Christian Bale,CTV News at 11:30 Toronto
Christian Bale,CTV News at Six Toronto
Christian Bale,Gaming the System: The Making of 'Vice'
Christian Bale,The Oscars
Christian Bale,IMDbrief
Christian Bale,BAFTAs 2019
Christian Bale,The 76th Annual Golden Globe Awards 2019
Christian Bale,Good Morning America
Christian Bale,Entertainment Tonight Canada
Christian Bale,CBS This Morning
Christian Bale,Extra with Billy Bush
Christian Bale,Made in Hollywood
Christian Bale,A Journey of the Soul: The Making of 'Hostiles'
Christian Bale,DP/30: Conversations About Movies
Christian Bale,The 11th Annual CNN Heroes: An All-Star Tribute
Christian Bale,Spielberg
Christian Bale,"Intent to Destroy: Death, Denial & Depiction"
Christian Bale,The Insider
Christian Bale,The Big Leap: Adam McKay
Christian Bale,The House of Cards: The Rise of the Fall
Christian Bale,The Big Short: In the Tranches - Casting
Christian Bale,The Big Short: Unlikely Heroes - The Characters of the Big Short
Christian Bale,The Oscars
Christian Bale,IMDb First Credit
Christian Bale,22nd Annual Screen Actors Guild Awards
Christian Bale,21st Annual Critics' Choice Awards
Christian Bale,73rd Golden Globe Awards
Christian Bale,Rencontres de cinéma
Christian Bale,Exodus: Gods and Kings - Enhancement Pods
Christian Bale,Exodus: Gods and Kings - Ridleyvision
Christian Bale,Exodus: Gods and Kings - The Lawgiver's Legacy: Moses Throughout History
Christian Bale,Keepers of the Covenant: Making Exodus - Gods and Kings
Christian Bale,The Making of 'Exodus: Gods and Kings'
Christian Bale,The Big Short: Getting Real - Recreating an Era
Christian Bale,Fox and Friends
Christian Bale,World Premiere
Christian Bale,Special Look
Christian Bale,Weekend Ticket
Christian Bale,2014 MTV Movie Awards
Christian Bale,The Making of American Hustle
Christian Bale,The Oscars
Christian Bale,The EE British Academy Film Awards
Christian Bale,19th Annual Critics' Choice Movie Awards
Christian Bale,Up Close with Carrie Keagan
Christian Bale,Big Morning Buzz Live
Christian Bale,Entertainers with Byron Allen
Christian Bale,Reel Junkie
Christian Bale,Good Day L.A.
Christian Bale,Superheroes: From Page to Screen
Christian Bale,70th Golden Globe Awards
Christian Bale,Ending the Knight
Christian Bale,The Batmobile
Christian Bale,Fantastic
Christian Bale,Guys Choice Awards 2012
Christian Bale,2012 MTV Movie Awards
Christian Bale,The 84th Annual Academy Awards
Christian Bale,Behind the Scenes with Melissa Leo
Christian Bale,The 83rd Annual Academy Awards
Christian Bale,17th Annual Screen Actors Guild Awards
Christian Bale,The Project
Christian Bale,The 68th Annual Golden Globe Awards
Christian Bale,Charlie Rose
Christian Bale,Cage Insider
Christian Bale,Bale Out: RevoLucian's Christian Bale Remix!
Christian Bale,Terminator Salvation: Focus Points
Christian Bale,"Terminator Salvation, Behind the Scenes: Reforging the Future"
Christian Bale,"Terminator Salvation, Behind the Scenes: The Moto-Terminator"
Christian Bale,Criminal Technology
Christian Bale,Larger Than Life Adversaries
Christian Bale,Michael Mann: Making 'Public Enemies'
Christian Bale,On Dillinger's Trail
Christian Bale,Public Enemies: Blu-ray Historical Interactive Timeline
Christian Bale,Public Enemies: Blu-ray Picture in Picture
Christian Bale,The Last of the Legendary Outlaws
Christian Bale,DeLuxe
Christian Bale,HBO First Look
Christian Bale,Cinema 3
Christian Bale,Días de cine
Christian Bale,Manifesting 'the Machinist'
Christian Bale,Terminator Salvation: A G4 Special
Christian Bale,The 35th Annual People's Choice Awards
Christian Bale,Gotham Uncovered: Creation of a Scene
Christian Bale,Els matins a TV3
Christian Bale,Batman Tech
Christian Bale,RealTVFilms
Christian Bale,Batman Unmasked
Christian Bale,3:10 to Yuma: An Epic Explored
Christian Bale,Destination: Yuma
Christian Bale,Biography
Christian Bale,Making of a True Story: Rescue Dawn
Christian Bale,The Director's Notebook: The Cinematic Sleight of Hand of Christopher Nolan
Christian Bale,Weekend Sunrise
Christian Bale,The Prestige: Now That's Magic
Christian Bale,Film 2018
Christian Bale,HypaSpace
Christian Bale,2006 MTV Movie Awards
Christian Bale,Celebrity Debut
Christian Bale,Making 'the New World'
Christian Bale,The 2005 European Film Awards
Christian Bale,Batman: The Journey Begins
Christian Bale,Batman: The Tumbler
Christian Bale,Batman Begins: Path to Discovery
Christian Bale,Cape and Cowl
Christian Bale,Gotham City Rises
Christian Bale,Shaping Mind and Body
Christian Bale,Batman Begins: Behind the Mask
Christian Bale,The Early Show
Christian Bale,The Machinist: Breaking the Rules
Christian Bale,Finding: 'Equilibrium'
Christian Bale,Cartaz Cultural
Christian Bale,Last Call with Carson Daly
Christian Bale,The Late Late Show with Craig Kilborn
Christian Bale,Shaft: Still the Man
Christian Bale,The Making of 'American Psycho'
Christian Bale,The 14th Annual Genesis Awards
Christian Bale,Dying to Tell the Story
Christian Bale,AFI Life Achievement Award
Christian Bale,Blood Drips Heavily on Newsies Square
Christian Bale,Chatterbox
Christian Bale,Going Live!
Christian Bale,Wogan
Christian Bale,Citizen Steve
Christian Bale,"The China Odyssey: 'Empire of the Sun', a Film by Steven Spielberg"
Christian Bale,Movie Night Extravaganza
Christian Bale,Minty Comedic Arts
Christian Bale,"Tueur, trader et psychopathe - L'Amérique de Bret Easton Ellis"
Christian Bale,Entertainment Tonight
Christian Bale,Nostalgia Critic
Christian Bale,Top 10 Beyond the Screen
Christian Bale,2020 Golden Globe Awards
Christian Bale,Access Hollywood
Christian Bale,Extra with Billy Bush
Christian Bale,Vice: Deleted Scenes
Christian Bale,Premios Goya 33 edición
Christian Bale,Jeremy Vine
Christian Bale,Entertainment Tonight Canada
Christian Bale,Celebrity Page
Christian Bale,Welcome to the Basement
Christian Bale,Fareed Zakaria GPS
Christian Bale,The Evolution of Batman in Cinema
Christian Bale,The Drunken Peasants
Christian Bale,The Fire Rises: The Creation and Impact of the Dark Knight Trilogy
Christian Bale,Death Battle
Christian Bale,Forget About It
Christian Bale,Shut Up Little Man
Christian Bale,Almost Famous III
Christian Bale,The Big Fat Quiz of the Year
Christian Bale,A Comicbook Orange
Christian Bale,Gomorron
Christian Bale,Family Guy
Christian Bale,Almost Famous II
Christian Bale,Exclusive Dark Knight Deleted Scene
Christian Bale,E! True Hollywood Story
Christian Bale,Gotham Tonight
Christian Bale,5 Second Movies
Christian Bale,La noche desesperada
Christian Bale,101 Sexiest Celebrity Bodies
Christian Bale,Premio Donostia a Willem Dafoe
Christian Bale,Cinema mil
Christian Bale,101 Biggest Celebrity Oops
Jennifer Knox,The Blacklist
Jennifer Knox,Stuck
Jennifer Knox,Recall
Jennifer Knox,Audrey the Trainwreck
Jennifer Knox,Miss Ohio
Jennifer Knox,The Dark Knight
Jennifer Knox,Quietly on By
Patrick Clear,Chicago Med
Patrick Clear,Proven Innocent
Patrick Clear,Empire
Patrick Clear,Chicago P.D.
Patrick Clear,Boss
Patrick Clear,The Chicago Code
Patrick Clear,The Dark Knight
Patrick Clear,Death of a President
Patrick Clear,Prison Break
Patrick Clear,Life Sentence
Patrick Clear,Logan's War: Bound by Honor
Patrick Clear,Early Edition
Patrick Clear,Losing Isaiah
Patrick Clear,The Untouchables
Patrick Clear,The Woman Who Loved Elvis
Patrick Clear,The Babe
Patrick Clear,In the Best Interest of the Children
Sam Derence,Chicago P.D.
Sam Derence,Mind Games
Sam Derence,Chicago Fire
Sam Derence,LOL
Sam Derence,The Chicago Code
Sam Derence,The Express
Sam Derence,The Dark Knight
Sam Derence,Prison Break
Sam Derence,Cupid
Sam Derence,Turks
Sam Derence,Early Edition
Sam Derence,The Untouchables
Sam Derence,The Woman Who Loved Elvis
Sam Derence,Hero
Sam Derence,Crime Story
Kevin Zaideman,Trunk'd
Kevin Zaideman,A Chance in Hell
Kevin Zaideman,The Grocery
Kevin Zaideman,Sister Mary
Kevin Zaideman,Diamond Meadows
Kevin Zaideman,The Dark Knight
Kevin Zaideman,One Fine Day!
Kevin Zaideman,A Look at Homosexuality in OFD
Essa Zahir,The Bones on Greenwich Shore
Essa Zahir,Secrets
Essa Zahir,The Thompsons
Essa Zahir,Battlefield 3
Essa Zahir,The Great Ghost Rescue
Essa Zahir,Women Without Men
Essa Zahir,The Bill
Essa Zahir,"For a Moment, Freedom"
Essa Zahir,House of Saddam
Essa Zahir,The Dark Knight
Essa Zahir,Munich: Mossad's Revenge
Essa Zahir,"Bremner, Bird and Fortune"
Essa Zahir,A Line in the Sand
Essa Zahir,Tooth
Essa Zahir,Pompeii: The Last Day
Essa Zahir,Second Nature
Essa Zahir,The American Embassy
Essa Zahir,The Score
Essa Zahir,Foggy Notion
Essa Zahir,Captives
Essa Zahir,Outside Bet
Essa Zahir,Caught in a Trap
Essa Zahir,Ancient Mysteries
Essa Zahir,The Real Tower of Babylon
Essa Zahir,Dick and Dom in da Bungalow
Essa Zahir,Spy School Pilot
Essa Zahir,The Booker Prize 2001
Essa Zahir,Newsnight
Debi Wollitzer,Everyday But Christmas
Debi Wollitzer,Friends Family & Lovers
Debi Wollitzer,The Red Line
Debi Wollitzer,Proven Innocent
Debi Wollitzer,Chicago Med
Debi Wollitzer,Gone Baby Gone
Debi Wollitzer,Arrow
Debi Wollitzer,Empire
Debi Wollitzer,Chicago Fire
Debi Wollitzer,Suits
Debi Wollitzer,Chicago P.D.
Debi Wollitzer,The Dark Knight
Debi Wollitzer,Empire
Debi Wollitzer,Sell Me This Pen
Mike Whyte,Vamp
Mike Whyte,Candles and a Keytar
Mike Whyte,Leverage
Mike Whyte,The Express
Mike Whyte,The Dark Knight
Mike Whyte,Wanted
Mike Whyte,Family Practice
Mike Whyte,ER
Lisa Wolf,Fields of Valor: The Civil War
Lisa Wolf,The Chicago Code
Lisa Wolf,Leading Ladies
Lisa Wolf,State of Romance
Lisa Wolf,Formosa Betrayed
Lisa Wolf,Public Enemies
Lisa Wolf,Escaped
Lisa Wolf,Undercover: Double Life
Lisa Wolf,The Beast
Lisa Wolf,Animal Witness
Lisa Wolf,Peep Show
Lisa Wolf,Nothing Like the Holidays
Lisa Wolf,Eagle Eye
Lisa Wolf,The Express
Lisa Wolf,The Dark Knight
Lisa Wolf,Witless Protection
Lisa Wolf,The Merry Gentleman
Lisa Wolf,The Lucky Ones
Lisa Wolf,Baby on Board
Lisa Wolf,Tabatha Takes Over
Sarah Jayne Dunn,Darkheart Manor
Sarah Jayne Dunn,Hollyoaks
Sarah Jayne Dunn,Doctors
Sarah Jayne Dunn,Casualty
Sarah Jayne Dunn,Hollyoaks Later
Sarah Jayne Dunn,Advance to Contact
Sarah Jayne Dunn,Boom in Shot
Sarah Jayne Dunn,Crime Stories
Sarah Jayne Dunn,After Death
Sarah Jayne Dunn,The Syndicate
Sarah Jayne Dunn,Exile
Sarah Jayne Dunn,The Dark Knight
Sarah Jayne Dunn,Drop Dead Gorgeous
Sarah Jayne Dunn,Northern Cowboys
Sarah Jayne Dunn,The Innocence Project
Sarah Jayne Dunn,Brookside: Unfinished Business
Sarah Jayne Dunn,Hollyoaks: Movin' On
Sarah Jayne Dunn,Tonight Live with Dan Wootton
Sarah Jayne Dunn,Loose Women
Sarah Jayne Dunn,Greatest Chocolate Adverts of All Time
Sarah Jayne Dunn,The National Television Awards 2019
Sarah Jayne Dunn,The British Soap Awards 2018
Sarah Jayne Dunn,Weekend
